Y,X,Treecover1985,Treecover1990,Treecover1995,Treecover2000,Treecover2005,Treecover2010,Treecover2015,Treecover2020
-7.9888133,-38.2949696,0.08523,0.12497,0.10391,0.10847,0.12214,0.11765,0.09947,0.15393
-8.111826,-35.2929394,0.09978,0.11364,0.10918,0.15304,0.11245,0.13896,0.1497,0.20208
-9.0683788,-44.3619762,0.35478,0.32548,0.30631,0.32408,0.3405,0.31954,0.33877,0.34166
-10.4406577,-45.1595445,0.13212,0.20812,0.19654,0.15302,0.13894,0.13849,0.16256,0.16882
-6.7710743,-43.0189593,0.32269,0.37948,0.42014,0.38162,0.4129,0.41375,0.41074,0.39887
-2.9237016,-41.748236,0.21683,0.25851,0.20842,0.22927,0.2581,0.26845,0.24181,0.24313
-7.0780667,-41.4446877,0.13872,0.17248,0.16997,0.1898,0.16601,0.1557,0.17725,0.14062
-5.1110158,-42.7818578,0.21599,0.24434,0.25392,0.27732,0.28745,0.28281,0.27075,0.30607
-23.5517281,-51.4515616,0.20246,0.24522,0.22615,0.22868,0.23547,0.23553,0.2512,0.28026
-23.4291163,-51.4337209,0.15334,0.19873,0.17647,0.17479,0.18275,0.16501,0.16733,0.20325
-25.5840201,-49.3959434,0.19867,0.22926,0.21828,0.24009,0.26039,0.29018,0.25353,0.2843
-24.3984122,-53.5174392,0.14085,0.15091,0.15352,0.13759,0.14205,0.14237,0.1446,0.14727
-23.2870271,-51.2622647,0.17195,0.19359,0.18858,0.19554,0.18437,0.17983,0.20136,0.2735
-25.464007,-49.5421533,0.22057,0.2424,0.24739,0.2568,0.30007,0.34786,0.31904,0.33739
-24.0300008,-52.3847102,0.1844,0.16935,0.19832,0.18953,0.19254,0.19237,0.18932,0.20095
-24.9558989,-53.4525324,0.17945,0.19532,0.19222,0.20608,0.19151,0.18987,0.1773,0.18098
-24.7934694,-50.0015567,0.18525,0.19326,0.16131,0.17657,0.20643,0.21046,0.22454,0.23556
-23.6649684,-52.6102249,0.25329,0.2524,0.26379,0.26527,0.2452,0.17823,0.16322,0.20796
-25.4424981,-49.2299696,0.19744,0.21103,0.20815,0.23443,0.25593,0.28628,0.30649,0.32433
-25.747527,-53.0647333,0.22166,0.20271,0.23146,0.24845,0.26182,0.25276,0.23836,0.2935
-25.6654814,-49.3123148,0.14714,0.12672,0.13632,0.17963,0.20839,0.18944,0.20665,0.21568
-25.4955332,-54.5472752,0.24114,0.22978,0.22633,0.21203,0.24536,0.25037,0.22762,0.23011
-26.0647342,-53.0526714,0.22395,0.19651,0.23321,0.22931,0.25735,0.26386,0.27976,0.27591
